id	C1	C2
NCKAP1	169.93602363	184.810927123
PTN	71.8194864318	73.8316329047
JMY	134.738950782	140.947821617
LRRK1	168.615973189	133.730106995
LRRK2	3.50574361533	19.5514970496
PTH	0.196951888502	0.196951888502
PLEKHJ1	44.3540958539	38.4972957745
SRCRB4D	83.3690485656	73.0926585421
COPE	88.1441363469	75.489150919
INVS	99.8901368976	124.311653286
AGPHD1	16.7822443619	15.1296247616
ABHD12	176.09056697	176.113597915
ABHD13	19.6769137383	22.6751437187
MT-CO3	35.9148674011	36.507610321
SMPDL3B	184.136829346	180.555398382
NGRN	87.8289499283	86.1803941727
NT5C1B-RDH14	9.98613739014	11.0596055984
CRMP1	418.851305693	391.18828699
C11orf63	15.850372307	26.2323069796
FN3K	33.3214555308	33.4080216885
FAM108A1	64.3999245688	50.3193467185
PTS	98.4363832623	102.825365216
NEUROG3	0.0787807554007	2.42067795247
MRPL10	145.052789368	138.831849732
MRPL11	229.262431383	215.374406815
MRPL13	141.01006677	151.41855862
MRPL14	31.5058588982	27.9873175621
MRPL15	126.424974069	135.151826486
C16orf61	26.6414177939	18.9117034003
MRPL17	119.040211305	111.187490091
CDC25C	167.596185997	174.890882514
MRPL19	92.7253650278	78.0565467924
CDC25A	143.137244932	148.563723028
RNF44	161.265922464	134.24317304
RNF43	32.322860159	23.9655887783
RNF41	89.8223655745	87.4234893844
RNF40	365.245030425	346.434135355
TMPRSS12	0.196951888502	0.196951888502
DCUN1D1	40.9656952918	46.1238681376
DCUN1D2	149.841120474	171.411614411
ZNF821	38.3431395143	38.3282629102
DCUN1D4	180.426009998	204.630835906
DCUN1D5	230.714581534	244.677396342
TMPRSS15	1.18171133101	1.18171133101
ITPR2	339.63517496	322.254950784
ITPR3	518.137406558	483.011745661
ZNF828	60.6609220505	62.5473608971
ZNF829	30.0641181991	28.40595036
MEGF9	29.5302995294	24.7478193939
CES1	44.6957677156	49.2316319123
KDSR	79.2195352167	80.0419469923
DEFB105B	0.118171133101	0.118171133101
USMG5	75.927785024	78.4720893949
LRIG2	226.666860335	242.143287122
AC105020.1	6.34176206589	5.75231790543
NOTCH3	439.450338125	365.823930554
ANKRD20A2	0.866588309407	2.47116365284
ANKRD20A3	1.18171133101	2.78628667444
POLE	56.8118754998	62.045794405
ANKRD20A1	0.590855665505	2.19543100893
C15orf60	0.236342266202	1.84091760963
ANKRD20A4	6.04979743809	5.7197047174
BMPR1A	176.076579966	192.378104128
SNCG	77.2247205004	48.5350151807
C15orf61	15.7452330589	12.281206131
SNCB	51.8229832351	33.7633195668
RNF128	18.8709212095	16.3854704127
AIFM2	80.6898290291	80.9703017324
RNF126	90.5769424662	73.7580218539
IL17RE	102.555856653	49.2882389948
IL17RD	102.043386772	109.945882872
RNF123	465.008376598	412.964236125
MATK	77.5665207654	47.729014948
RNF121	247.053726949	257.599666052
RP11-582J16.5	21.0658454895	20.1995925903
NELF	180.246845029	151.349971794
KBTBD11	13.8969095275	15.4489543959
SSPN	14.5506736934	24.2122359276
PATE4	0.157561510801	0.157561510801
FOXR1	2.29071012139	0.512074910104
FOXR2	0.0393903777003	0.0393903777003
PPBP	3.67544155568	0.118171133101
OR11A1	0.236342266202	0.236342266202
SCML1	66.4136096835	98.2397705689
AC074212.3	2.25131974369	0.472684532404
FFAR2	0.0393903777003	0.0393903777003
TMEM110-MUSTN1	6.96590071172	6.98804979771
CD302	0.0	0.0
SACS	170.602964506	178.620863117
FFAR3	0.0787807554007	0.0787807554007
MUC5B	32.9044346362	15.0017431602
OPN5	0.512074910104	0.512074910104
OPN4	0.512074910104	0.512074910104
OPN3	145.716759704	150.982268065
NCOR2	537.09067741	455.570950367
NCOR1	199.062680848	198.880925015
AC145145.4	0.0	0.0
SCAPER	84.4187369794	96.9819616675
FFAR1	1.81802558899	0.0393903777003
AVEN	35.7071641013	35.8159282729
ANKRD54	115.898360744	102.651288338
BRP44	68.5264013857	63.6098884717
AL157402.2	0.0	0.0
AL157402.3	0.0	0.0
AL157402.1	0.0	0.0
REPS1	161.424708664	169.623487003
TEF	81.3158515021	66.8883413449
REPS2	89.6337253153	74.8745788112
CDHR5	29.6938601062	16.2531354651
GPN3	52.0296342894	56.9529851004
NBN	282.659119964	312.577808738
GPN1	142.40878737	151.792135306
TMEM30A	119.897835597	125.9091364
NFKB1	112.456990674	142.04366073
TMEM30C	0.196951888502	1.80152723193
TES	132.263442934	150.049081162
EBF3	11.6974266469	19.3330196962
B3GALNT2	77.7924072444	100.125667438
GREM1	9.3743005842	12.7564745992
RAP2B	20.6996746063	20.5177650452
RAP2C	90.1967115104	98.1821954474
